prod_name,rating,user_review
Prior 8,4.5,"Had this on draft 9/8/22 @ the Hopleaf.

Mostly opaque brown appearance.

Nice tan head; a thick curtain of tree-rung lace.

Cream, raisin & leather notes in the nose.

Creamy, medium thick mouthfeel.

Cream, dry raisin & leather flavors; booze heat emerged as this warmed.

Just a fantastic, world-class beer. No big deal."
Prior 8,4.46,"Poured from a 11.2 oz bottle into a tulip glass. Bottle purchased on 8/22/22.

L- Deep scarlet hazy color.

S- Rich malty deep pumpernickel nose.

T- Very nice malty flavor with pronounced
Belgian yeasty spice.

F- Fine carbonation with a little bite.

O- Fantastic Belgian taste! Really damn
good!"
Prior 8,2.45,"Look: Nice color, brown with a nice head

Smell: Smells weird, everyone has been hyping it up to smell like chocolate, I think it smells like peanuts, weird

Taste: Bad. Why is it sour?

Feel: Fine considering how sour it is

I was thoroughly disappointed by this. Considering triple was phenomenal"
Prior 8,4.01,"Had a 750mL leftover from St Bernardus day. Best by some time in early 2025

On the pour a bit of a disappointing fizzy head formed, just about a finger of light brown bubbles that quickly recedes to a thick ring around the rim and a quite effervescent covering. Body is a dark hazy brown that barely lets any light through. Second glass had a much nicer mor traditional looking head that tried to lace, my glass may have been dirty.

Aroma is quite belgian amd dark woth strong plummy and figgy notes followed by a light roast malt. Almost all fermentation aroma, but it is a nice dark belgian smell.

Taste is much more nuanced than the aroma with roasty malts coming through quite nicely after a quick but prominent hit of belgian yeast and some light hop bitterness. The taste is surprisingly smooth and chocolatey. Like a fruity less bitter dark chocolate. The figgy notes stay present woth only a little fresh plum on the taste. Not as bright and tart as the aroma would suggest.

Feel is not as big as expected. Very dry amd carbonated with a decently long finish. There is some warming in the chest from the alcohol, but this is quite drinkable and a good example of a belgian dubbed.

Overall I enjoyed this beer. Makes me want to revisit Abt 12 just to see what I can pick up on now. A very nice dark beer with some good belgian character, and a very nice soft malt bill."
Prior 8,4.35,"Poured into a snifter a medium brown with a tall manilla colored head that was very tall.
The aroma was sweet malts, but not sugar sweet, more dark chocolate sweet.
The taste was excellent, so good, dark fruit, dark molasses, mild malts and yeast for a mild grassy touch.
The feel was very good, just very smooth and drinkable.
OA, darn tasty dubbel, will gladly drink again."
Prior 8,5,Outstanding.
Prior 8,4.35,"I have to have a dubbel when I'm eating asian food. When I can't get Ommegang Abbey Ale, I suffer with Prior 8. Well, I don't exactly suffer, Prior 8 is a wonderful beer. Goes great with chow mei fun."
Prior 8,4.5,"On tap at the Map Room in Chicago, IL.

This one pours a dark golden brown color, with a small foamy white head, and lots of lacing.

This smells like dark fruit, toasted spice, clove, fermented molasses, brown sugar, and tea.

It should be a surprise to no one that this one's a little stunner. It's especially cool to find this on draft. It's got a super creamy and malty goodness to it, with some like toasted nutmeg flavors, some nuttiness, brown sugar, and a tea-like bitterness. There's also some breadiness with just a hint of caramel. There's also just a hint of classic Belgian yeastiness.

This is medium bodied, creamy, with a great smooth drinkability and finish.

This is a classic, and for good reason."
Prior 8,4.06,"Bought at Liquor Shed in Casper as part of a mixed 12pack. Best before July 4th 2025.

It pours a reddish brown with a good head of tannish foam. Lacing is great.

Smells malty, yeasty, Belgian spice, dark fruits.

Taste is dark pitted fruits, malty in a non sweet way, spicy...being bottled in 2020, I reckon that it does lack some vibrancy. Still, quite good.

Medium bodied, lively carbonation.

This held up way better than the Pater 6, which was bottled 2 years earlier."
Prior 8,4.15,"finally get to try prior 8, pater 6 is a real favourite of mine, probably my favourite beer in the style, this is up there as well, lovely dark malt flavours, almost meaty, lots of chocolate, black bread, dark fruits, fig and raisin, some honeycomb, nicely sweet, little bit of belgian spice, light to medium bitterness on the finish, medium bodied with high levels of carbonation, little bit of dryness to it, really quite pleasant, a great beer from a great brewery"
Prior 8,3.92,"Pours a brownish copper color with over a finger of head. The nose has that distinct note of Belgian yeast but it is not very pungent. The flavor profile has notes of bread, dark fruits and spice. The finish is slightly dry in the most mild sense of the term."
Prior 8,4.6,"pours a deep semi-murky cola brown with tanned frothy foam head that billows and holds rocky with very high retention, slowly revealing thick streaks and sheets of lacing as it settles to a murky island cap with thick halo

aroma is sweet, candied, and dark. molasses with dark fruit and a little citrus laced with spice

taste is a cracker jack spark of the aroma; sweet and candied molasses forward chocolate orange and spiced plum. rich, robust, spiced just enough to flare a contrast in the dark sweetness with the citrus.

body is high carbonation with medium-light body. runs chewy with light outer limits, and a combined effort towards a somewhat creamy feel (if not slightly foamy feeling) before finishing semi-dry with a bubblegum and molasses thick bittering hop resin laced with sweet citrus and belgian spice in the aftertaste

overall:
whoas. superb. a total notch above the Pater in sparked intensity and flavor. more lively, with a citrus tinge and plenty of belgian spice and bubblegum in the candied sweetness. somehow feels super balanced while entertaining a big complexity. the citrus was a nice turn, and the overall candied feeling gets balanced in a wonderful way with the robust malt and bittering elements. out of the dubbels I've had, this one feels the most unique so far."
Prior 8,4.41,"11.2oz bottle

Dark brown/amber, very sweet candied sugar scent. The taste has hints of cocoa powder and coffee beans alongside a mild belgian dark ale and the candied dark fruit you'd expect. Kinda tastes like coca-cola or more accurately, pepsi cola. Floral and citrus hop flavors alongside the caramel malt, plums, maple syrup, a slight medicinal bitterness...all the flavors meld together into a savory aromatic dark creamy fruity blend. Winner."
Prior 8,4.47,"Poured into snifter. Dark opaque brown with a big light khaki head.

Dark fruit nose, especially plum, A note of citrus sweet.

Taste follows with dark chocolate and malt. A boozy tail.

Crazy smooth.

Very smooth and creamy dubbel. Not easy to forget"
Prior 8,4,Looks very dark with a light brown foam head. Smells very deep with malts. Taste strong with malt and coffee. Overall its a nice beer.
